First Name,Surname,Country,Specialism,Reserve Price Rs Lakh, C A U
Isuru,Udana,Sri Lanka,ALL_ROUNDERS,50,Capped
Sheldon,Cottrell,West Indies,BOWLERS,50,Capped
Marchant,De Lange,South Africa,BOWLERS,75,Capped
Steven,Finn,England,BOWLERS,100,Capped
Dane,Paterson,South Africa,BOWLERS,50,Capped
Sayed,Shirzad,Afghanistan,BOWLERS,50,Capped
Sudeep,Tyagi,India,BOWLERS,50,Capped
Neil,Wagner,New Zealand,BOWLERS,50,Capped
Rajesh,Bishnoi Sr ,India,BATSMEN,20,Uncapped
Laurie,Evans,England,BATSMEN,40,Uncapped
Swapnil,Gugale,India,BATSMEN,20,Uncapped
Priyank,Panchal,India,BATSMEN,20,Uncapped
Rajat,Patidar,India,BATSMEN,20,Uncapped
Dwaraka,Ravi Teja,India,BATSMEN,20,Uncapped
Prayas Ray ,Barman,India,ALL_ROUNDERS,20,Uncapped
Cameron,Delport,South Africa,ALL_ROUNDERS,30,Uncapped
Ashok,Menaria,India,ALL_ROUNDERS,20,Uncapped
Jamie,Overton,England,ALL_ROUNDERS,40,Uncapped
Riyan,Parag,India,ALL_ROUNDERS,20,Uncapped
Akash,Parkar,India,ALL_ROUNDERS,20,Uncapped
Jason,Sangha,Australia,ALL_ROUNDERS,20,Uncapped
Pratyush,Singh,India,ALL_ROUNDERS,20,Uncapped
Shamar,Springer,West Indies,ALL_ROUNDERS,20,Uncapped
Milind,Tandon,India,ALL_ROUNDERS,20,Uncapped
R,Vivek,India,ALL_ROUNDERS,20,Uncapped
R.Sanjay,Yadav,India,ALL_ROUNDERS,20,Uncapped
Ravi ,Balhara,India,BOWLERS,20,Uncapped
Ashish,Hooda,India,BOWLERS,20,Uncapped
Lukman Hussain,Meriwala,India,BOWLERS,20,Uncapped
Babasafi,Pathan,India,BOWLERS,20,Uncapped
Pankaj ,Rao,India,BOWLERS,20,Uncapped
Anupam,Sanklecha,India,BOWLERS,20,Uncapped
Lutho,Sipamla,South Africa,BOWLERS,20,Uncapped
Pawan,Suyal,India,BOWLERS,20,Uncapped
Blair,Tickner,New Zealand,BOWLERS,20,Uncapped
Kartik,Tyagi,India,BOWLERS,20,Uncapped
K,Vignesh,India,BOWLERS,30,Uncapped
Ajay,Yadav,India,BOWLERS,20,Uncapped
Kuldip,Yadav,India,BOWLERS,20,Uncapped
Liam,Dawson,England,ALL_ROUNDERS,150,Capped
Ryan,Mclaren,South Africa,ALL_ROUNDERS,50,Capped
 Riley, Meredith, Australia, Bowler,40,Uncapped
Samit,Patel,England,ALL_ROUNDERS,50,Capped
Eoin,Morgan,England,BATSMEN,200,Capped
Dwayne,Smith,West Indies,ALL_ROUNDERS,75,Capped
Jon-Jon,Smuts,South Africa,ALL_ROUNDERS,50,Capped
Jack,Wildermuth,Australia,ALL_ROUNDERS,50,Capped
Johannes,Malan,South Africa,BATSMEN,20,Uncapped
